Meeting,Committee,MotionN,Topic,Species,MotionDesc,Category,Timing,Ecosystem,How,Notes
June2024,SG,21,Amendment 48,Wreckfish,approve all actions as modified,strategic,occasional,no,,
June2024,SG,22,Amendment 48,Wreckfish,approve final amendment,strategic,occasional,no,,
June2024,SG,23,RegAmendment 36,Gag;BlackGrouper;BlackSeaBass,select preferred alternative,tactical,routine,no,,aggregate bag limits grouper
June2024,SG,24,RegAmendment 36,Gag;BlackGrouper;BlackSeaBass,select preferred alternative,tactical,routine,no,,bsb pot stowage
June2024,SG,25,RegAmendment 36,Gag;BlackGrouper;BlackSeaBass,approve amendment public hearings,tactical,routine,no,,
June2024,SG,26,Amendment 56,BlackSeaBass,approve amendment scoping,tactical,routine,no,,
June2024,SG,27,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,evaluate whether spawning season timing shifts,
June2024,SG,28,Amendment 55,Scamp;YellowmouthGrouper,approve amendment public hearings,tactical,routine,no,,
June2024,SG,29,TimingTasks,AllSnapperGrouper,create subcommittee,strategic,occasional,no,,commercial management
June2024,SG,30,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,no,,
September2024,Council,10,TimingTasks,All,develop finalize and request info,both,both,no,,"logbook vs MRIP, hail in out, landing location approval process, allocation review"
September2024,SEDAR,11,TimingTasks,SEDAR,develop finalize and request info,strategic,occasional,maybe,consider ecosystem information in Key stock definition,"life history for key stocks, SSC guidance on mgt alternatives to assessments"
September2024,HABEBM,12,NewAmendment,Coral;Shrimp,initiate amendment development,strategic,occasional,yes,coral and shrimp amendments,SFAA shrimp fishery access area
September2024,HABEBM,13,TimingTasks,Coral;Shrimp,schedule review for scoping,strategic,occasional,no,,
September2024,SG,14,RegAmendment 36,Gag;BlackGrouper;BlackSeaBass,approve final amendment,tactical,routine,no,,
September2024,SG,15,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,multispecies OY,OY 95% MSY
September2024,SG,16,Amendment 55,Scamp;YellowmouthGrouper,remove to considered but rejected,tactical,routine,no,,
September2024,SG,17,Amendment 55,Scamp;YellowmouthGrouper,approve final amendment,tactical,routine,no,,
September2024,SG,18,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,consider ecosystem information in black sea bass effort and catch projections,black sea bass effort and catch projections
December2024,Council,15,AllocationReview,Spadefish,approve report,strategic,occasional,maybe,consider social economic and ecosystem information in allocation updates,
December2024,Council,16,AllocationReview,Jacks,approve report,strategic,occasional,maybe,consider social economic and ecosystem information in allocation updates,
December2024,Council,17,TimingTasks,All,develop finalize and request info,both,both,maybe,request electronic reporting of ecosystem information,meetings and permit data
December2024,DW,18,TimingTasks,AllDolphinWahoo,develop finalize and request info,tactical,routine,no,,RegAmendment 3
December2024,SG,19,NewAmendment,GoldenTilefish,initiate amendment development,tactical,routine,no,,
December2024,SG,20,TimingTasks,AllSnapperGrouper,submit comments on project,strategic,occasional,maybe,consider ecosystem information in outreach for safe catch and release (e.g water temperature),species and area expansion project
December2024,SG,21,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,consider ecosystem interactions with SPR based MSY proxies,"black sea bass projections, spr proxy rationale, SG MSE, FMU evaluation"
March2025,Council,3,Comprehensive For-Hire Reporting Improvement Amendment,AllDolphinWahoo; AllSnapperGrouper; AllMackerelCobia,approve amendment scoping,strategic,occasional,no,,
March2025,Council,4,TimingTasks,All,develop finalize and request info,both,both,yes,MOA with FL Keys NMS habitat collaboration,restore Beaufort NOAA lab
March2025,HAB-S,5,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,specify alternatives,tactical,occasional,yes,establish shrimp fishery access area at coral HAPC boundary,
March2025,HAB-S,6,TimingTasks,Coral;Shrimp,develop finalize and request info,tactical,occasional,maybe,consider ecosystem information in draft amendment,
March2025,HABEBM,7,EFH,All,approve review letter,strategic,occasional,yes,updates food web and connectivity policy and includes info in EFH,
March2025,HABEBM,8,LivingShorelines,All,adopt definition,strategic,occasional,yes,defines living shorelines as supporting ecological resilience,
March2025,HABEBM,9,HEAP,All,approve meeting agenda,strategic,routine,yes,"HEAP agenda: climate readiness, food web policy into EFH, EBM","climate readiness, food web policy into EFH"
March2025,HABEBM,10,TimingTasks,All,develop finalize and request info,strategic,occasional,yes,discuss and develop IEA goals and objectives,IEA goals and objectives
March2025,CMP,11,TimingTasks,AllMackerelCobia,develop finalize and request info,both,both,maybe,include any ecosystem information from port meetings in summaries,"stakeholder engagement, port meetings, spanish mackerel catch rec"
March2025,SG,12,NewAmendment,AllSnapperGrouper,initiate amendment development,strategic,routine,no,,commercial permits and trip efficacy
